assembly_name	ena_accession	fasta_url	fastq_url
01-001			
01-002			
01-008			
01-009			
03-002			
03-005			
04-008			
04-017			
04-024			
04-025			
06-001			
06-014			
06-025			
06-026			
06-027			
06-028			
06-035			
06-036			
06-042			
07-001			
07-002			
07-004			
07-016			
07-017			
09-001			
09-007			
09-011			
09-012			
09-013			
10-001			
10-009			
10-017			
10-019			
10-021			
10-023			
12-001			
12-003			
12-005			
12-012			
12-014			
12-017			
12-018			
15-001			
15-002			
AND01-001	GCA_900683395	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900683395?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3417145/ERR3417145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3417145/ERR3417145_2.fastq.gz""]"
AND01-004			
AND01-005			
AND01-006			
AND01-008			
AND01-009			
AND01-010			
AND01-011			
AND01-012			
AND01-013			
AND01-015			
AND01-016	GCA_900706705	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900706705?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418499/ERR3418499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418499/ERR3418499_2.fastq.gz""]"
AND01-019			
AND01-020	GCA_900706935	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900706935?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418500/ERR3418500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3418500/ERR3418500_2.fastq.gz""]"
AND01-021			
AND01-022			
AND01-023			
AND01-024			
AND01-027			
AND01-028			
AND01-029			
AND01-030	GCA_900707075	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707075?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3417346/ERR3417346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/006/ERR3417346/ERR3417346_2.fastq.gz""]"
AND01-031			
AND01-032			
AND01-034			
AND01-035			
AND01-036			
AND01-037			
AND01-038	GCA_900707065	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707065?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418501/ERR3418501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/001/ERR3418501/ERR3418501_2.fastq.gz""]"
AND01-040	GCA_900707045	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707045?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418634/ERR3418634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418634/ERR3418634_2.fastq.gz""]"
AND02-001	GCA_900707085	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707085?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418502/ERR3418502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418502/ERR3418502_2.fastq.gz""]"
AND02-002			
AND02-003			
AND02-006			
AND02-007			
AND02-008			
AND02-009			
AND02-013			
AND02-014			
AND02-015			
AND02-016	GCA_900707095	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707095?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418503/ERR3418503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418503/ERR3418503_2.fastq.gz""]"
AND02-018			
AND02-019			
AND02-021			
